PPO Training:  10%|████████▋                                                                            | 31/305 [03:10<27:39,  6.06s/it]
Iteration 205, SPS: 5402
Iteration 206, SPS: 5402
Iteration 207, SPS: 5403
Iteration 208, SPS: 5403
Iteration 209, SPS: 5404
Iteration 210, SPS: 5404
Iteration 211, SPS: 5405
Iteration 212, SPS: 5405
Iteration 213, SPS: 5406
Iteration 214, SPS: 5406
Iteration 215, SPS: 5407
Iteration 216, SPS: 5407
Iteration 217, SPS: 5407
Iteration 218, SPS: 5408
Iteration 219, SPS: 5408
Iteration 220, SPS: 5409
Iteration 221, SPS: 5409
Iteration 222, SPS: 5410
Iteration 223, SPS: 5410
Iteration 224, SPS: 5410
Iteration 225, SPS: 5411
Iteration 226, SPS: 5411
Iteration 227, SPS: 5412
Iteration 228, SPS: 5412
Iteration 229, SPS: 5411
Iteration 230, SPS: 5411
Iteration 231, SPS: 5412
Iteration 232, SPS: 5412
Iteration 233, SPS: 5413
Iteration 234, SPS: 5413
Iteration 235, SPS: 5413
Iteration 236, SPS: 5413
Iteration 237, SPS: 5413
Iteration 238, SPS: 5413
Iteration 239, SPS: 5413
Iteration 240, SPS: 5413
Iteration 241, SPS: 5414
Iteration 242, SPS: 5412
Iteration 243, SPS: 5412
Iteration 244, SPS: 5410
Iteration 245, SPS: 5410
Iteration 246, SPS: 5410
Iteration 247, SPS: 5411
Iteration 248, SPS: 5411
Iteration 249, SPS: 5411
Iteration 250, SPS: 5411
Iteration 251, SPS: 5412
Iteration 252, SPS: 5412
Iteration 253, SPS: 5412
Iteration 254, SPS: 5413
Iteration 255, SPS: 5413
Iteration 256, SPS: 5413
Iteration 257, SPS: 5414
Iteration 258, SPS: 5414
Iteration 259, SPS: 5414
Iteration 260, SPS: 5415
Iteration 261, SPS: 5415
Iteration 262, SPS: 5415
Iteration 263, SPS: 5416
Iteration 264, SPS: 5416
Iteration 265, SPS: 5416
Iteration 266, SPS: 5417
Iteration 267, SPS: 5417
Iteration 268, SPS: 5418
Iteration 269, SPS: 5418
Iteration 270, SPS: 5418
Iteration 271, SPS: 5419
Iteration 272, SPS: 5419
Iteration 273, SPS: 5419
Iteration 274, SPS: 5419
Iteration 275, SPS: 5419
Iteration 276, SPS: 5420
Iteration 277, SPS: 5420
Iteration 278, SPS: 5420
Iteration 279, SPS: 5421
Iteration 280, SPS: 5421
Iteration 281, SPS: 5421
Iteration 282, SPS: 5422
Iteration 283, SPS: 5422
Iteration 284, SPS: 5422
Iteration 285, SPS: 5423
Iteration 286, SPS: 5423
Iteration 287, SPS: 5423
Iteration 288, SPS: 5424
Iteration 289, SPS: 5424
Iteration 290, SPS: 5424
Iteration 291, SPS: 5424
Iteration 292, SPS: 5425
Iteration 293, SPS: 5425
Iteration 294, SPS: 5425
Iteration 295, SPS: 5426
Iteration 296, SPS: 5426
Iteration 297, SPS: 5426
Iteration 298, SPS: 5427
Iteration 299, SPS: 5427
Iteration 300, SPS: 5427
[Checkpoint] Saved at iteration 300 → ./checkpoints/ppo_go2_iter_300.pth
Iteration 301, SPS: 5428
Iteration 302, SPS: 5428
Iteration 303, SPS: 5428
Iteration 304, SPS: 5429
Iteration 305, SPS: 5429
Starting evaluation...
Eval Episode 1: Return = 12.68
Eval Episode 2: Return = 19.20
Eval Episode 3: Return = 12.18
Eval Episode 4: Return = 18.79
Eval Episode 5: Return = 17.68
Eval Episode 6: Return = 22.44
Eval Episode 7: Return = 26.45
Eval Episode 8: Return = 23.83
Eval Episode 9: Return = 25.58
Eval Episode 10: Return = 15.99
Mean Evaluation Return: 19.48
Final model saved to ppo_go2_final_Ant-v5_ppo_go2_1757080225.pth
