#{"t_start": 1756622989.90913, "env_id": "None"}
r,l,t
142.456333,234,20.715736
133.783629,220,20.770001
125.068052,202,20.820607
135.137648,218,20.874219
128.988753,205,20.925664
141.178582,228,21.299423
130.217413,217,21.354274
141.876897,229,21.411199
142.024862,234,21.470141
133.426048,223,21.526251
142.531998,240,21.586339
145.898539,233,21.645611
132.776129,224,21.700839
150.16146,244,21.762451
140.764929,223,22.132337
149.922284,251,22.195887
140.338717,244,22.256163
137.839523,231,22.314245
143.744057,245,22.37612
141.879799,225,22.432117
145.371595,236,22.490722
144.944666,235,22.548243
139.973077,223,22.603491
142.124416,238,22.977365
144.06344,243,23.038182
134.732982,229,23.094264
153.307307,271,23.16311
140.589696,232,23.221764
149.482502,246,23.2826
150.554937,265,23.35001
145.524476,237,23.408142
144.980279,229,23.780646
151.304668,269,23.847854
156.099218,263,23.914475
149.981621,239,23.974998
156.191867,252,24.037223
165.277494,288,24.109583
188.697401,315,24.189226
174.801303,308,24.265263
164.173255,291,24.654659
154.053201,266,24.722262
161.64064,269,24.788709
155.879726,277,24.85918
141.996812,255,24.923165
162.387384,256,24.985782
165.899863,291,25.058291
156.895746,264,25.436761
159.751796,263,25.503619
158.134718,287,25.576097
162.648733,262,25.641307
169.560685,273,25.711278
175.425474,279,25.78199
155.804939,245,25.842299
175.52334,308,25.920523
175.972922,299,26.346535
177.623061,295,26.426374
176.269295,342,26.513375
202.13395,360,26.604255
147.956247,240,26.664189
182.812171,309,26.741726
170.351998,316,26.821831
155.667849,271,27.204342
175.390124,293,27.2781
198.52489,344,27.365161
162.952195,262,27.430992
186.823225,308,27.508226
161.047824,259,27.572462
166.975575,296,27.645785
174.545557,312,28.040916
208.115993,344,28.140377
185.143322,312,28.225313
200.161988,324,28.308502
182.356732,321,28.389168
196.628223,333,28.473461
180.045177,306,28.864764
183.857947,306,28.942268
172.127876,277,29.011303
180.56686,310,29.088511
225.432035,377,29.185535
195.917982,337,29.271208
186.617542,304,29.659522
216.649597,434,29.767018
186.901282,339,29.852924
188.605656,291,29.926406
199.948069,342,30.012778
250.556692,426,30.121446
200.368389,351,30.530698
215.702133,364,30.623649
216.547364,355,30.713369
178.15895,285,30.785897
200.302395,341,30.872326
218.721782,354,30.961617
242.947463,457,31.397385
221.503803,381,31.494132
204.680085,343,31.581794
175.943436,323,31.661477
181.994343,292,31.734889
192.731884,324,31.815983
200.946982,350,32.220524
246.294652,434,32.331748
262.790321,461,32.470945
207.491001,338,32.557397
294.650295,516,32.714243
254.071224,415,33.164725
229.24897,376,33.260668
221.216019,361,33.353796
251.508478,424,33.461728
220.749225,347,33.550502
193.383472,333,33.949083
218.555095,369,34.044101
261.372152,448,34.161009
213.607638,368,34.254087
184.753851,325,34.336226
246.046064,415,34.758239
176.455055,330,34.841932
234.241794,392,34.945213
219.071881,377,35.043692
249.797212,414,35.149352
224.556205,377,35.244951
264.118149,477,35.684941
326.590475,551,35.827707
247.990761,428,35.936797
263.955565,431,36.048037
244.62099,397,36.469536
245.732402,415,36.575621
310.419883,518,36.710547
225.748896,387,36.809511
254.570366,423,36.917977
246.270571,416,37.343454
226.89941,390,37.443329
297.571472,581,37.596536
281.572027,468,37.718446
269.013092,450,38.147547
245.709269,414,38.254909
251.361297,410,38.360721
346.549419,695,38.541151
273.292525,458,38.973398
224.478716,391,39.07508
313.534598,623,39.241028
281.706032,499,39.369312
262.709964,469,39.489771
273.69909,457,39.921386
294.780809,508,40.054101
307.934775,506,40.184586
303.378432,532,40.321221
332.82723,560,40.782312
228.092933,390,40.881721
342.342642,594,41.035655
302.601275,541,41.174431
346.546752,571,41.639228
262.348348,455,41.754762
308.40477,542,41.894626
301.010141,548,42.039559
294.647956,503,42.48969
366.843395,717,42.677849
234.895385,420,42.785501
297.223878,545,43.242275
272.357275,462,43.367695
337.738265,523,43.503117
243.076876,445,43.616445
320.127056,627,44.095
285.160005,490,44.22355
302.607583,504,44.353163
355.570988,687,44.531465
288.142827,494,44.97335
343.986992,579,45.126677
260.749901,449,45.241854
311.316105,514,45.374196
338.556653,585,45.841635
331.765488,510,45.975754
349.573747,590,46.128731
246.074629,428,46.240491
346.426246,545,46.701907
384.073623,658,46.874938
351.792429,576,47.025818
291.584788,471,47.462581
336.414702,547,47.605608
467.820507,887,47.841584
424.895949,861,48.387948
365.849496,610,48.547664
343.735409,522,48.683248
346.127066,543,48.82465
371.749961,644,49.30928
329.222305,550,49.451498
345.103472,527,49.587734
379.776304,590,50.056863
376.803079,562,50.204273
358.227776,625,50.364693
369.706618,567,50.513076
356.883644,574,50.977022
328.561202,507,51.106417
393.346945,691,51.28777
355.376636,645,51.77396
259.519682,483,51.899252
295.199838,544,52.041117
371.658732,580,52.191024
436.573494,687,52.693646
371.144915,576,52.859143
354.913487,526,52.994722
324.877115,546,53.457669
343.090136,573,53.607558
387.153308,592,53.762469
359.644554,579,53.915288
384.603462,582,54.384394
402.30237,628,54.54788
434.178277,624,54.709562
355.651626,545,55.171042
303.767999,468,55.291824
471.228323,665,55.464078
427.22215,668,55.638317
422.499292,639,56.121353
453.21305,681,56.296504
379.098487,546,56.436921
348.527056,553,56.895194
349.151439,601,57.052031
305.084928,516,57.185437
457.13766,671,57.357428
335.794186,495,57.798623
371.55934,538,57.939553
322.381878,474,58.059138
320.483344,490,58.183351
430.115602,693,58.680837
318.671633,474,58.801768
336.103081,491,58.926249
465.544381,670,59.418704
484.99694,727,59.604679
294.558449,440,59.714487
441.78917,608,59.869561
337.95601,510,60.318538
438.979112,620,60.479514
395.258631,563,60.626406
307.484171,505,61.079834
356.106021,595,61.266011
347.291086,577,61.416928
289.206626,490,61.54327
371.271341,597,62.012666
350.279699,603,62.167084
419.526288,612,62.325107
512.013115,718,62.825041
440.640828,625,62.989863
477.400596,656,63.160831
434.609827,610,63.633978
504.028257,715,63.815799
488.041877,691,63.994374
376.039264,606,64.151961
348.588267,618,64.624833
522.035974,735,64.813755
583.805056,906,65.364833
550.548046,868,65.587448
481.741933,726,65.772914
454.519205,632,66.251055
559.800261,872,66.475864
241.180394,478,66.598229
532.696335,798,67.119217
555.006183,814,67.330099
333.681383,584,67.479626
441.529831,618,67.953836
564.196804,795,68.159843
555.930705,763,68.360571
578.883776,788,68.879043
600.080999,836,69.094665
532.311412,787,69.609527
397.398624,569,69.75283
585.237937,841,69.968981
280.464952,497,70.41752
487.548889,720,70.603298
621.884581,852,70.824291
464.72965,668,71.310913
508.366269,722,71.498303
442.437089,629,71.659138
511.177203,727,72.164989
455.92199,641,72.331219
516.034275,811,72.535462
640.315668,913,73.087482
313.278625,483,73.211042
523.597342,759,73.405525
503.548798,716,73.902836
482.85539,700,74.079842
566.5098,833,74.61359
537.251244,780,74.814849
326.779917,512,74.946524
375.398502,573,75.09261
298.973561,505,75.570523
567.566636,827,75.780446
406.396909,637,75.943991
415.822901,639,76.429786
333.925927,516,76.560757
378.154042,566,76.705039
580.072981,831,77.236951
526.415083,850,77.450975
